
            boundary,locagrid
feature,"350 Ralston Street, San Francisco, California 94132"
center,"-122.4688, 37.7188"
scenario,Medium (RCP 4.5)
climate variable,Maximum Temperature
climate indicator,[object Object]
units,degree days 
            
 

            year,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1950,92.19896698,,,,
1951,58.925994873,,,,
1952,47.3099594116,,,,
1953,43.0679855347,,,,
1954,41.6879806519,,,,
1955,28.2389831543,,,,
1956,41.7089920044,,,,
1957,51.5519638062,,,,
1958,124.8239364624,,,,
1959,28.7729873657,,,,
1960,8.5799942017,,,,
1961,38.56199646,,,,
1962,6.5670013428,,,,
1963,1.1520004272,,,,
1964,26.5439910889,,,,
1965,46.7429962158,,,,
1966,50.4659957886,,,,
1967,39.8429946899,,,,
1968,22.6409835815,,,,
1969,5.9400024414,,,,
1970,47.432975769,,,,
1971,24.0629882812,,,,
1972,11.6969985962,,,,
1973,14.6039962769,,,,
1974,18.5009765625,,,,
1975,12.9659957886,,,,
1976,35.9009857178,,,,
1977,2.5109939575,,,,
1978,30.7469787598,,,,
1979,25.4459915161,,,,
1980,48.689994812,,,,
1981,23.5859909058,,,,
1982,15.75,,,,
1983,72.4379577637,,,,
1984,26.0189819336,,,,
1985,81.4709777832,,,,
1986,21.375,,,,
1987,114.4619674683,,,,
1988,45.7799758911,,,,
1989,36.0269927979,,,,
1990,21.9059753418,,,,
1991,13.026008606,,,,
1992,25.0230026245,,,,
1993,173.3729858398,,,,
1994,10.3259963989,,,,
1995,27.6089935303,,,,
1996,23.9279937744,,,,
1997,65.7989578247,,,,
1998,5.2289962769,,,,
1999,21.8190002441,,,,
2000,23.1809844971,,,,
2001,37.2029876709,,,,
2002,7.1639938354,,,,
2003,75.6929779053,,,,
2004,39.956993103,,,,
2005,0,,,,
2006,6.4529953003,54.0347518921,23.0997924805,47.5778579712,16.8080291748
2007,,18.5014266968,96.2618637085,147.1967926025,63.7094345093
2008,,48.9398956299,50.5995254517,51.4573669434,51.9705123901
2009,,37.1539001465,28.6758728027,73.3882217407,23.6679229736
2010,,65.1526641846,36.1505813599,82.1770553589,31.2254943848
2011,,54.5732879639,23.9565734863,48.1245269775,47.4225234985
2012,,63.2807617188,27.0281982422,67.425163269,45.1789550781
2013,,16.9997329712,49.9891281128,35.7038040161,24.5735626221
2014,,26.7303085327,121.6757049561,54.5881958008,6.7059631348
2015,,25.4767227173,14.0898513794,41.7916564941,27.7953643799
2016,,9.7689285278,22.2168655396,21.5540237427,35.0087432861
2017,,124.1967926025,41.3085403442,86.5561523438,103.6880111694
2018,,61.9947891235,36.7998962402,57.0598526001,55.2842483521
2019,,61.4356384277,42.0323562622,17.3284988403,17.6032867432
2020,,79.6008453369,15.3438110352,53.2540740967,8.8943634033
2021,,102.9300231934,29.2222824097,34.4833221436,3.7550506592
2022,,53.0128097534,68.123878479,108.9861602783,94.2218322754
2023,,41.556602478,69.8399124146,71.3044052124,6.4223632812
2024,,58.7888183594,25.8425292969,86.92918396,34.5463638306
2025,,50.3362503052,50.4460144043,84.7333831787,68.0198059082
2026,,37.7260131836,43.3597488403,72.7907943726,31.4517593384
2027,,15.4725952148,25.8765335083,51.4409179688,10.8730621338
2028,,45.4605484009,22.4833297729,36.5015945435,34.6350708008
2029,,47.1095733643,28.2747192383,32.5875473022,70.2603683472
2030,,94.7851104736,51.2688446045,48.8109817505,11.6113510132
2031,,95.8315200806,77.8780059814,111.8699569702,27.6386108398
2032,,73.2421646118,53.1016082764,83.8834381104,24.2197494507
2033,,45.5919265747,50.0626602173,22.1055984497,52.3200149536
2034,,58.4742431641,89.5105514526,126.0757446289,54.145980835
2035,,80.2039794922,74.6087493896,49.3453674316,38.0459747314
2036,,192.7880096436,67.01512146,106.8855514526,5.8803329468
2037,,62.3201217651,61.1971054077,33.8795471191,24.5808105469
2038,,82.1223144531,23.0880203247,80.8830795288,57.2285690308
2039,,118.2091064453,62.638999939,32.6575775146,87.973526001
2040,,70.5541381836,71.5457305908,36.0082702637,97.2201461792
2041,,125.0545501709,5.6318588257,131.1301574707,71.1880111694
2042,,71.2142562866,101.9782333374,119.893196106,67.1986541748
2043,,112.6855621338,79.2199172974,216.904006958,19.4337997437
2044,,42.8718566895,46.908744812,117.7165527344,45.2747268677
2045,,122.9222412109,28.1887741089,56.0145950317,77.3885040283
2046,,112.7864456177,40.8355560303,57.4986419678,39.4645996094
2047,,69.7461471558,23.2130279541,65.8470916748,113.2010574341
2048,,137.4941101074,61.0039138794,208.5392150879,18.7207641602
2049,,50.6142196655,64.3980865479,37.1219863892,28.4838409424
2050,,148.0026092529,62.2700271606,67.7457580566,23.3765563965
2051,,65.375213623,41.8362960815,46.5392990112,27.1301345825
2052,,24.8177947998,31.1071472168,34.522819519,64.4090423584
2053,,159.4693756104,76.7841339111,187.3439331055,85.071685791
2054,,157.0115661621,76.4452590942,176.7725219727,90.7723999023
2055,,166.5026550293,41.4619598389,255.0355529785,66.4566192627
2056,,136.4796600342,37.5146102905,164.5869445801,72.3933486938
2057,,113.3553009033,61.2292556763,148.5005645752,39.9241333008
2058,,194.0364685059,64.6731185913,84.7856750488,63.7816925049
2059,,98.3326187134,18.8160858154,279.9093017578,41.6963577271
2060,,177.3052368164,117.6429138184,44.3603286743,45.5836868286
2061,,162.07371521,30.9430618286,57.3823623657,101.4187240601
2062,,137.195602417,111.398223877,128.4783325195,42.1850280762
2063,,102.1757507324,74.2459716797,97.1107940674,64.2806167603
2064,,264.6242980957,167.0602416992,137.5777435303,86.3199920654
