
            boundary,locagrid
feature,"350 Ralston Street, San Francisco, California 94132"
center,"-122.4688, 37.7188"
scenario,Medium (RCP 4.5)
climate variable,Maximum Temperature
climate indicator,[object Object]
units,degree days 
            
 

            year,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1950,3283.3322753906,,,,
1951,3352.2270507812,,,,
1952,3581.4660644531,,,,
1953,3435.1171875,,,,
1954,3584.4152832031,,,,
1955,3933.7111816406,,,,
1956,3553.2932128906,,,,
1957,3159.7861328125,,,,
1958,2553.5131835938,,,,
1959,3232.1462402344,,,,
1960,4271.8081054688,,,,
1961,4099.572265625,,,,
1962,4134.5913085938,,,,
1963,3871.7941894531,,,,
1964,4011.0961914062,,,,
1965,4003.4072265625,,,,
1966,3431.9582519531,,,,
1967,3386.8293457031,,,,
1968,3847.8032226562,,,,
1969,3784.1252441406,,,,
1970,3906.6901855469,,,,
1971,4292.244140625,,,,
1972,4002.1081542969,,,,
1973,3958.6411132812,,,,
1974,3910.0141601562,,,,
1975,4218.5883789062,,,,
1976,3596.8771972656,,,,
1977,3730.3142089844,,,,
1978,3357.5192871094,,,,
1979,3253.3623046875,,,,
1980,3260.8083496094,,,,
1981,3305.8623046875,,,,
1982,3657.4321289062,,,,
1983,2946.5192871094,,,,
1984,3505.8061523438,,,,
1985,3414.2373046875,,,,
1986,3192.7531738281,,,,
1987,2764.4072265625,,,,
1988,3098.1213378906,,,,
1989,3508.0412597656,,,,
1990,3453.3571777344,,,,
1991,3712.5151367188,,,,
1992,2843.5622558594,,,,
1993,2891.1062011719,,,,
1994,3789.078125,,,,
1995,3260.1962890625,,,,
1996,3388.8303222656,,,,
1997,3069.4443359375,,,,
1998,3722.1782226562,,,,
1999,4069.9682617188,,,,
2000,3655.7973632812,,,,
2001,3762.1801757812,,,,
2002,3698.283203125,,,,
2003,3362.7392578125,,,,
2004,3325.5693359375,,,,
2005,3373.3203125,,,,
2006,3637.4611816406,3160.3225097656,3028.6398925781,3314.6455078125,3269.3369140625
2007,,3406.6838378906,2904.9411621094,2819.9890136719,2879.3859863281
2008,,3235.8312988281,3069.875,3023.7595214844,3138.3383789062
2009,,3054.6726074219,3370.0961914062,3238.50390625,3218.8117675781
2010,,2895.4626464844,2987.3681640625,3465.8430175781,3133.2438964844
2011,,3128.9384765625,3037.5573730469,3691.6916503906,3148.0773925781
2012,,3049.0832519531,3014.0903320312,2896.6911621094,3206.9304199219
2013,,2809.9704589844,2922.2817382812,3345.9274902344,3148.8283691406
2014,,3045.697265625,2918.7326660156,3115.021484375,3165.37109375
2015,,2969.4833984375,3456.5380859375,3082.1352539062,3051.4616699219
