"Source: EMFAC2021 (v1.0.1) Emissions Inventory"
"Region Type: Sub-Area"
"Region: San Mateo (SF)"
"Calendar Year: 2020, 2030, 2040, 2050"
"Season: Annual"
"Vehicle Classification: EMFAC202x Categories"
"Units:  miles/day for CVMT and EVMT, trips/day for Trips, kWh/day for Energy Consumption, tons/day for Emissions, 1000 gallons/day for Fuel Consumption"

Region,"Calendar Year","Vehicle Category","Model Year",Speed,Fuel,Population,"Total VMT",CVMT,EVMT,Trips,"Energy Consumption",NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,"Fuel Consumption"
"San Mateo (SF)",2020,LDA,Aggregate,Aggregate,Gasoline,242868.10989067482,7500311.199969578,7500311.199969578,0,1142657.4646575646,0,0.5133969882389521,0,0.38935903901325,0.902756027252202,0.011701364901579348,0,0.002952680444464317,0.014654045346043665,0.016535355742358673,0.019667303186885053,0.05085670427528739,0.01272613944443143,0,0.003211012918297243,0.015937152362728673,0.06614142296943469,0.056192294819671584,0.13827087015183495,2421.1888897044755,0,94.70357139367975,2515.8924610981553,0.02703084211346356,0,0.10924039881531851,0.13627124092878207,0.04709813049882414,0,0.044119544458996636,0.09121767495782077,0.11289254914249258,0,0.5393551719051222,0.6522477210476147,0.3857907007439015,0.12417276234977907,0.3109708914235318,1.473182075564827,0.16468132230115914,0,0.5905206004369331,0.7552019227380923,0.3857907007439015,0.12417276234972796,0.3109708914234039,1.5761362772551257,7.042457531204802,0,5.201804583195707,12.24426211440051,0.02393591713509342,0,0.0009362412188968888,0.024872158353990308,0.27281787793567963,265.29771648823356
"San Mateo (SF)",2020,LDA,Aggregate,Aggregate,Diesel,996.8649809496283,24543.35688551619,24543.35688551619,0,4315.508962837569,0,0.008098688057305447,0,0,0.008098688057305447,0.0005275639265257424,0,0,0.0005275639265257424,0.00005410883980591691,0.00006515211822654944,0.0006468248845582089,0.0005514180262529841,0,0,0.0005514180262529841,0.00021643535922366764,0.0001861489092187127,0.0009540022946953644,6.5498438140519495,0,0,6.5498438140519495,0.00004114754471956028,0,0,0.00004114754471956028,0.0010319305602566923,0,0,0.0010319305602566923,0.0008858824116612585,0,0,0.0008858824116612585,0,0,0,0.0008858824116612585,0.001008518228211815,0,0,0.001008518228211815,0,0,0,0.001008518228211815,0.009884877822086345,0,0,0.009884877822086345,0.00006206309878536989,0,0,0.00006206309878536989,0.00008386867766232929,0.585094953316542
"San Mateo (SF)",2020,LDA,Aggregate,Aggregate,Electricity,11309.381300884219,387273.44036658056,0,387273.44036658056,57026.04562593921,149519.51139795769,0,0,0,0,0,0,0,0,0.000853791787473365,0.0006520463830641881,0.001505838170537553,0,0,0,0,0.00341516714989346,0.0018629896658976808,0.00527815681579114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Mateo (SF)",2020,LDA,Aggregate,Aggregate,"Plug-in Hybrid",4873.61538727519,182757.1856625328,97646.36436255205,85110.82129998077,20152.399627087147,25706.004741275512,0.000697529655205635,0,0.0026034833356075615,0.0033010129908131965,0.00017102440715376224,0,0.00005770897089820442,0.00022873337805196666,0.0004029106258170366,0.00026292602480891574,0.0008945700286779191,0.00018600464719642756,0,0.00006276377126885006,0.00024876841846527763,0.0016116425032681465,0.0007512172137397595,0.002611628135473184,29.226138173890945,0,1.5138401784365427,30.739978352327487,0.00009174235878137386,0,0.0009489406835126582,0.001040683042294032,0.00012263941423316198,0,0.0004572550714606099,0.0005798944856937718,0.0002951084759754241,0,0.003923808395404871,0.004218916871380296,0.0022953364959401633,0.0007986823422999338,0.0007280758157059645,0.008041011525326358,0.000430621595400654,0,0.004296076294557132,0.0047266978899577865,0.0022953364959401633,0.0007986823422996052,0.000728075815705665,0.008548792543903219,0.04375589718198073,0,0.030615396288555134,0.07437129347053587,0.0002889301303519654,0,0.000014965851371990605,0.000303895981723956,0.004080869610542632,3.2414923085426928
"San Mateo (SF)",2020,LDT1,Aggregate,Aggregate,Gasoline,23587.756875344174,652528.6805548841,652528.6805548841,0,106369.03880717405,0,0.130422418866353,0,0.0544594582688981,0.18488187713525112,0.001552639009787625,0,0.00038145681185014046,0.0019340958216377655,0.0014385794905564314,0.002090015616885813,0.00546269092908001,0.0016884506236681575,0,0.00041481398143306767,0.0021032646051012253,0.005754317962225725,0.005971473191102325,0.013829055758429276,248.004988151267,0,10.890691553861066,258.8956797051281,0.006063259441487055,0,0.015071108246453227,0.021134367687940282,0.008631716319969238,0,0.0048788422508996825,0.01351055857086892,0.028075827363910594,0,0.08180230933793156,0.10987813670184216,0.07288411217459596,0.021818278128584605,0.06359848207559532,0.26817900908061804,0.0409192791703329,0,0.08956242432366232,0.13048170349399524,0.07288411217459596,0.021818278128575615,0.06359848207556915,0.2887825758727359,1.256067951266951,0,0.8059780240021702,2.0620459752691214,0.0024517817964227963,0,0.0001076655735888901,0.0025594473700116865,0.025538798311321144,27.30022594227248
"San Mateo (SF)",2020,LDT1,Aggregate,Aggregate,Diesel,10.50553636439901,142.84322363507056,142.84322363507056,0,32.10177446614302,0,0.00026889719473690974,0,0,0.00026889719473690974,0.00003891444322479172,0,0,0.00003891444322479172,0.0000003149154022036803,0.0000005365658129774513,0.00003976592443997286,0.00004067398166713247,0,0,0.00004067398166713247,0.0000012596616088147212,0.0000015330451799355753,0.00004346668845588277,0.06645375015314725,0,0,0.06645375015314725,0.0000024004287468052435,0,0,0.0000024004287468052435,0.000010469815399196877,0,0,0.000010469815399196877,0.00005167981763514481,0,0,0.00005167981763514481,0,0,0,0.00005167981763514481,0.000058834036469882527,0,0,0.000058834036469882527,0,0,0,0.000058834036469882527,0.00027496741845589205,0,0,0.00027496741845589205,0.0000006296830546653332,0,0,0.0000006296830546653332,0.0000004881187335204163,0.005936287176825261
"San Mateo (SF)",2020,LDT1,Aggregate,Aggregate,Electricity,52.64110425665383,1477.5441943946744,0,1477.5441943946744,249.4128817143452,570.4540073950421,0,0,0,0,0,0,0,0,0.000003257427355743818,0.0000025077395404353525,0.00000576516689617917,0,0,0,0,0.000013029709422975272,0.000007164970115529579,0.00002019467953850485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Mateo (SF)",2020,LDT1,Aggregate,Aggregate,"Plug-in Hybrid",2.491174454113365,102.34288145985062,53.269078400086386,49.073803059764224,10.30100636811874,14.821751157593459,0.00000038052376176110903,0,0.0000013307843688916011,0.0000017113081306527101,0.00000007913928886088265,0,0.000000025499381827894987,0.00000010463867068877763,0.00000022562743165157434,0.00000014745608355453334,0.0000004777221858948853,0.00000008607119737424466,0,0.000000027732904323769004,0.00000011380410169801367,0.0000009025097266062974,0.0000004213030958700953,0.0000014376169241744064,0.015943752293083993,0,0.0008647797227482581,0.01680853201583225,0.000000050439373303852485,0,0.0000004890760991526124,0.0000005395154724564649,0.00000006791243593229736,0,0.0000002374682782306711,0.00000030538071416296845,0.00000016099069991891728,0,0.000002005675553099657,0.0000021666662530185744,0.000000912027770680401,0.0000003045327881234145,0.00000030179362862249143,0.000003685020440444881,0.0000002349172514093611,0,0.0000021959622718415436,0.0000024308795232509045,0.000000912027770680401,0.0000003045327881232892,0.0000003017936286223674,0.000003949233710676962,0.000023870180243463733,0,0.00001564922282044231,0.00003951940306390604,0.00000015762022340863087,0,0.000000008549227973013652,0.00000016616945138164452,0.0000024662018141874355,0.001772438699296889
"San Mateo (SF)",2020,LDT2,Aggregate,Aggregate,Gasoline,109543.06150004422,3480182.1122384053,3480182.1122384053,0,522321.9885303809,0,0.33990629944644996,0,0.231744118141137,0.571650417587587,0.005622944733004523,0,0.0012962006365815559,0.0069191453695860786,0.007672488212794244,0.010646041249344497,0.02523767483172482,0.00611533491520266,0,0.0014096977205569244,0.007525032635759585,0.030689952851176976,0.030417260712412846,0.0686322461993494,1394.914878305138,0,53.75819844745915,1448.6730767525971,0.013028450112384805,0,0.05395828424517229,0.06698673435755709,0.025916365487951055,0,0.023128753950435434,0.04904511943838649,0.053726319844068386,0,0.26188964083529215,0.31561596067936054,0.14377033147734647,0.04546571083298192,0.11225244844325856,0.6171044514329475,0.07835755523384211,0,0.2867355385053022,0.36509309373914434,0.14377033147734647,0.045465710832963205,0.11225244844321237,0.6665815844926664,3.477651409502496,0,2.505959597939503,5.983611007441999,0.013790153704899928,0,0.0005314545217194302,0.014321608226619358,0.13278563734952153,152.76076586862243
"San Mateo (SF)",2020,LDT2,Aggregate,Aggregate,Diesel,412.6233385372686,13496.575963166077,13496.575963166077,0,1996.9477924009693,0,0.0008905797752475888,0,0,0.0008905797752475888,0.000088362828185432,0,0,0.000088362828185432,0.000029754856685896366,0.00004140094047592573,0.00015951862534725408,0.00009235820317173443,0,0,0.00009235820317173443,0.00011901942674358546,0.0001182884013597878,0.00032966603127510766,4.959286408277266,0,0,4.959286408277266,0.000010258072201585325,0,0,0.000010258072201585325,0.0007813375932396498,0,0,0.0007813375932396498,0.000220850254927017,0,0,0.000220850254927017,0,0,0,0.000220850254927017,0.00025142333211181355,0,0,0.00025142333211181355,0,0,0,0.00025142333211181355,0.002023662010945219,0,0,0.002023662010945219,0.000046991759040349696,0,0,0.000046991759040349696,0.000046120014645099775,0.44301109032694475
